URL;Name/Alias;Appearances;Current?;Gender;Probationary Introl;Full/Reserve Avengers Intro;Year;Years since joining;Honorary;Death1;Return1;Death2;Return2;Death3;Return3;Death4;Return4;Death5;Return5;Notes;N/A
http://marvel.wikia.com/Luke_Cage_(Earth-616)#;Carl Lucas;886;YES;MALE;N/A;05-Mar;2005;10;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Veranke_(Earth-616)#;Veranke;159;NO;FEMALE;N/A;05-Mar;2005;10;Full;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Killed by Norman Osbourne. Has not returned. ;N/A
http://marvel.wikia.com/James_Howlett_(Earth-616)#;"James ""Logan"" Howlett";3130;YES;MALE;N/A;05-Jun;2005;10;Full;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Died in Death_of_Wolverine_Vol_1_4. Has not yet returned;N/A
http://marvel.wikia.com/Robert_Reynolds_(Earth-616)#;Robert Reynolds;241;NO;MALE;N/A;05-Oct;2005;10;Full;YES;YES;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Died during Seige. Brought back to life by the Apocalypse twins as a horseman of death in Uncanny_Avengers_Vol_1_9.;N/A
http://marvel.wikia.com/Maya_Lopez_(Earth-616)#;Maya Lopez;67;NO;FEMALE;N/A;05-Nov;2005;10;Full;YES;YES;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;"First death 'had been murdered in a fight with Elektra.' ""Revived by Elektra and the Hand with their dark magic."" Died in most recent run of Moon Knight has not yet returned.";N/A
http://marvel.wikia.com/Nathaniel_Richards_(Iron_Lad)_(Earth-6311)#;Nathaniel Richards;23;NO;MALE;N/A;05-Apr;2005;10;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA is actually Kang but let's just not go there.;N/A
http://marvel.wikia.com/Elijah_Bradley_(Earth-616)#;Elijah Bradley;103;NO;MALE;N/A;05-Apr;2005;10;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/William_Kaplan_(Earth-616)#;"William ""Billy"" Kaplan";123;YES;MALE;N/A;05-Apr;2005;10;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Dorrek_VIII_(Earth-616)#;"Dorrek VIII/Theodore ""Teddy"" Altman";110;YES;MALE;N/A;05-Apr;2005;10;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Cassandra_Lang_(Earth-616)#;Cassie Lang;160;NO;FEMALE;N/A;05-Jun;2005;10;Full;YES;YES;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Dies in Young Avengers: The Childrens Crusade when she is killed by Doom. Eventually reborn years later. ;N/A
http://marvel.wikia.com/Katherine_Bishop_(Earth-616)#;"Katherine ""Kate"" Bishop";132;YES;FEMALE;N/A;05-Jun;2005;10;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Vision_(Jonas)_(Earth-616)#;Alias: Jonas;121;NO;MALE;N/A;06-Feb;2006;9;Full;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Dies in Young Avengers The Children's Crusade;N/A
http://marvel.wikia.com/Thomas_Shepherd_(Earth-616)#;"Thomas ""Tommy"" Shepherd";59;YES;MALE;N/A;06-Jun;2006;9;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Daniel_Rand_(Earth-616)#;Daniel Thomas Rand K'ai;629;NO;MALE;N/A;07-Feb;2007;8;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Stephen_Strange_(Earth-616)#;Doctor Stephen Vincent Strange;1324;NO;MALE;N/A;07-Feb;2007;8;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Ares_(Earth-616)#;Ares;236;NO;MALE;N/A;07-Mar;2007;8;Full;YES;YES;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;Ripped in half by the Sentry during Seige. Revived during Chaos King. Then killedby Chaos King. ;N/A
http://marvel.wikia.com/James_Buchanan_Barnes_(Earth-616)#;James Buchanan Barnes;663;NO;MALE;N/A;08-Dec;2008;7;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Jessica_Drew_(Earth-616)#;Jessica Miriam Drew;525;YES;FEMALE;N/A;08-Dec;2008;7;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Jessica_Jones_(Earth-616)#;Jessica Jones;205;YES;FEMALE;N/A;10-Aug;2010;5;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Amadeus_Cho_(Earth-616)#;Amadeus Cho;108;NO;MALE;N/A;09-Dec;2009;6;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Maria_Hill_(Earth-616)#;Maria Hill;359;YES;FEMALE;N/A;10-May;2010;5;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
